,Predicted R_t
1220,-0.1435181
1221,-0.15779176
1222,-0.15300082
1223,-0.13450769
1224,-0.089720935
1225,-0.08018069
1226,-0.033143003
1227,-0.007894079
1228,0.030162875
1229,0.053376596
1230,0.062225632
1231,0.04352325
1232,0.0926459
1233,0.09048838
1234,0.03413061
1235,0.027274512
1236,0.10863035
1237,0.11163304
1238,0.056864552
1239,0.08614616
1240,0.12753056
1241,0.19817801
1242,0.14068788
1243,0.1325154
1244,0.08655732
1245,0.07284907
1246,0.0617667
1247,0.05100666
1248,0.03613169
1249,0.018295603
1250,0.01705532
1251,0.015464749
1252,0.049581036
1253,0.0554548
1254,0.055809293
1255,0.07835381
1256,0.051364407
1257,0.113110736
1258,0.079368494
1259,0.058237374
1260,0.062995076
1261,0.019001244
1262,0.008714912
1263,-0.005809182
1264,0.010416691
1265,0.02733958
1266,0.036392726
1267,0.0119629735
1268,-0.013006539
1269,-0.031073298
1270,-0.050094455
1271,-0.03319832
1272,-0.0389002
1273,-0.048620693
1274,-0.076120496
1275,-0.07485797
1276,-0.07579981
1277,-0.05852467
1278,-0.07368522
1279,-0.08703903
1280,-0.11718536
1281,-0.07881036
1282,-0.046596274
1283,-0.032196954
1284,-0.031380765
1285,-0.031779487
1286,-0.016360573
1287,-0.010114375
1288,-0.009356671
1289,-0.009658611
1290,0.009413878
1291,0.01355385
1292,-0.009355752
1293,0.0028104642
1294,0.022594303
1295,0.007943046
1296,-0.035260573
1297,-0.04810324
1298,-0.07247284
1299,-0.054772213
1300,-0.040902093
1301,-0.04858367
1302,-0.08062452
1303,-0.061512858
1304,-0.09464774
1305,-0.09545728
1306,-0.10957233
1307,-0.11587898
1308,-0.113298535
1309,-0.11002227
1310,-0.121219434
1311,-0.12458236
1312,-0.12937362
1313,-0.12516947
1314,-0.12363271
1315,-0.08586114
1316,-0.09709415
1317,-0.0781661
1318,-0.055166632
1319,-0.043633383
1320,-0.035505496
1321,-0.03639256
1322,-0.0492434
1323,-0.047822107
1324,-0.05731502
1325,-0.08099526
1326,-0.0761292
1327,-0.08226829
1328,-0.09435431
1329,-0.09080762
1330,-0.08225692
1331,-0.10841344
1332,-0.09383948
1333,-0.019008605
1334,-0.009663166
1335,-0.04595374
1336,-0.013765098
1337,-0.0177079
1338,0.013046283
1339,0.018686993
1340,0.03812013
1341,0.009248548
1342,0.021462988
1343,0.028036106
1344,0.02256964
1345,0.018685812
1346,0.016270371
1347,0.04167269
1348,0.06509912
1349,0.09760115
1350,0.107118405
1351,0.15573302
1352,0.12627082
1353,0.18845879
1354,0.11921948
1355,0.08825581
1356,0.07316457
1357,0.074325524
1358,0.048401874
1359,0.06459465
1360,0.03432732
1361,0.10011166
1362,0.057008717
1363,0.056097545
1364,0.055839546
1365,0.058765646
1366,0.13546199
1367,0.121245764
1368,0.062390357
1369,0.072319575
1370,0.0949259
1371,0.02368676
1372,0.023873493
1373,0.037190516
1374,0.05413989
1375,0.04178032
1376,0.013027694
1377,0.034711894
1378,0.036979787
1379,0.012482983
1380,-0.00106778
1381,-0.00018923031
1382,-0.039041188
1383,-0.021283295
1384,-0.01231688
1385,-0.0076464745
1386,-0.013251298
1387,-0.004624969
1388,0.0041055726
1389,0.01892798
1390,0.028405681
1391,0.022559108
1392,0.016337356
1393,0.023975639
1394,0.03506427
1395,0.058612667
1396,0.053861324
1397,0.07149004
1398,0.06674793
1399,0.05193061
1400,0.03236959
1401,0.10616067
1402,0.11713011
1403,0.10547888
1404,0.101697385
1405,0.09346236
1406,0.09387785
1407,0.07440538
1408,0.06633905
1409,0.05742457
1410,0.05369943
1411,0.045204014
1412,0.03221267
1413,0.03175058
1414,0.02224596
1415,0.019076297
1416,0.02407744
1417,0.020530561
1418,0.027342338
1419,0.0029299858
1420,-0.0046935803
1421,-0.0027404497
1422,-0.0046453956
1423,-0.004521346
1424,-0.010967341
1425,-0.0054916353
1426,-0.0046479856
1427,0.005381587
1428,0.020078234
1429,0.002697302
1430,0.01157174
1431,0.025802987
1432,0.028193615
1433,0.04342186
1434,0.036654025
1435,0.038992368
1436,0.03894284
1437,0.00880497
1438,0.007135454
1439,0.002649742
1440,0.0030245655
1441,-0.00050482946
1442,-0.005981674
1443,0.026956415
1444,0.029275905
1445,0.038231026
1446,0.039435368
1447,0.047538165
1448,0.045804136
1449,0.044405904
1450,0.04087616
1451,0.04456236
1452,0.035487656
1453,0.03203531
1454,0.038770985
1455,0.04241341
1456,0.04710253
1457,0.052109875
1458,0.04899091
1459,0.06488818
1460,0.094587676
1461,0.033735313
1462,0.04998319
1463,0.04823214
1464,0.035850693
1465,0.024971262
1466,0.012295143
1467,0.004659431
1468,-0.00033478066
1469,-0.002422961
1470,-0.006548395
1471,0.005284321
1472,-0.020733846
1473,-0.020473523
1474,-0.04166747
1475,-0.03626233
1476,-0.037399217
1477,-0.046122637
1478,-0.040291138
1479,-0.048904985
1480,-0.028975409
1481,-0.04553599
1482,-0.025047759
1483,-0.019230321
1484,-0.010550925
1485,-0.0044631087
1486,0.0030520374
1487,0.0031964916
1488,0.0026217662
1489,-0.00035820808
1490,-0.0062882644
1491,0.00063991407
1492,0.010150112
1493,-0.004633432
1494,0.0042387745
