,Predicted R_t
873,0.020354088
874,0.014090353
875,-0.0070339697
876,-0.009519468
877,0.008705832
878,-0.010239012
879,-0.037723437
880,-0.057166122
881,-0.044895586
882,-0.05033147
883,-0.06408192
884,-0.08701202
885,-0.08419228
886,-0.057217672
887,-0.09211031
888,-0.07019009
889,-0.024661472
890,-0.049657
891,-0.039075356
892,-0.044922624
893,-0.06527886
894,-0.080778114
895,-0.07436005
896,-0.08229165
897,-0.08239239
898,-0.070110254
899,-0.06061826
900,-0.056192577
901,-0.035380427
902,-0.03723628
903,-0.020287478
904,-0.029393964
905,-0.049817555
906,-0.029960588
907,-0.053876217
908,-0.04678631
909,-0.035608526
910,-0.031814024
911,-0.06200982
912,-0.046259027
913,-0.049075603
914,-0.045383614
915,-0.04105533
916,-0.0026150881
917,-0.015155097
918,-0.019753521
919,-0.02366189
920,-0.022704639
921,-0.029378593
922,-0.028091334
923,-0.025063299
924,-0.03160048
925,-0.041343354
926,-0.023283312
927,-0.034593865
928,-0.019114522
929,0.0022294028
930,0.0033281413
931,-0.019265847
932,-0.0345497
933,-0.0710794
934,-0.05991558
935,-0.060647704
936,-0.05279412
937,-0.0685322
938,-0.09501738
939,-0.10640352
940,-0.08721282
941,-0.080280334
942,-0.16426986
943,-0.15662748
944,-0.17040558
945,-0.19437079
946,-0.17422643
947,-0.16042879
948,-0.20674007
949,-0.23001944
950,-0.25687686
951,-0.25078702
952,-0.15362824
953,-0.15160422
954,-0.14944518
955,-0.12679698
956,-0.13125354
957,-0.14583823
958,-0.11396732
959,-0.08678724
960,-0.059664868
961,-0.048718084
962,-0.03120955
963,0.05356846
964,0.058833078
965,0.03814981
966,0.08529406
967,0.087677605
968,0.07518453
969,0.07329316
970,0.11510832
971,0.16450985
972,0.1457075
973,0.11742184
974,0.11761645
975,0.12604482
976,0.090445995
977,0.09673612
978,0.074518554
979,0.06625019
980,0.041578323
981,0.0431134
982,0.07710136
983,0.10685912
984,0.061374553
985,0.03176437
986,0.053806864
987,0.09209954
988,0.09461034
989,0.07234248
990,0.055578616
991,0.076099545
992,0.06998046
993,0.051001515
994,0.035592202
995,0.06726725
996,0.038943313
997,0.047966104
998,0.062271405
999,0.05927287
1000,0.03812131
1001,0.04507507
1002,0.05923578
1003,0.05804612
1004,0.058170453
1005,0.031007921
1006,0.04202416
1007,0.049170967
1008,0.012532786
